type,price,beds,bath,propertysqft,street_name,latitude,longitude,zip_code,city
house for sale,775000,4,3.0,2184.207862,brooklyn,40.6385513,-73.8938534,11236,brooklyn
house for sale,779000,2,2.0,2184.207862,brooklyn,40.6134102,-73.927727,11234,brooklyn
multi-family home for sale,779000,3,2.0,1540.0,brooklyn,40.5949347,-73.9347766,11229,brooklyn
house for sale,780000,3,2.0,1320.0,brooklyn,40.6384339,-73.8899834,11236,brooklyn
condo for sale,5950000,2,2.0,1853.0,manhattan,40.7347565,-74.0097145,10014,new york
multi-family home for sale,788888,5,2.0,3443.0,brooklyn,40.6255174,-73.9205183,11234,brooklyn
multi-family home for sale,789000,4,2.0,2184.207862,brooklyn,40.6382091,-73.9325492,11203,brooklyn
house for sale,790000,4,2.0,1744.0,brooklyn,40.631398,-73.9361773,11210,brooklyn
multi-family home for sale,795000,3,2.0,1725.0,brooklyn,40.6781645,-73.9185084,11233,brooklyn
townhouse for sale,795000,5,2.0,2184.207862,brooklyn,40.6678086,-73.8739629,11208,brooklyn
house for sale,799000,5,3.0,1800.0,brooklyn,40.6336127,-73.9276041,11234,brooklyn
house for sale,799000,3,2.0,1881.0,brooklyn,40.6402886,-73.9463493,11226,brooklyn
multi-family home for sale,799000,6,2.0,2184.207862,brooklyn,40.6672674,-73.8686224,11208,brooklyn
house for sale,799000,3,2.0,2184.207862,brooklyn,40.6146692,-73.9515915,11210,brooklyn
house for sale,799000,4,3.0,2184.207862,brooklyn,40.6483188,-73.9039932,11236,brooklyn
house for sale,799000,3,2.0,2279.0,brooklyn,40.6131995,-73.9019711,11234,brooklyn
multi-family home for sale,799000,4,3.0,1344.0,brooklyn,40.6398093,-73.9109383,11236,brooklyn
house for sale,799000,3,2.0,1128.0,brooklyn,40.6169213,-73.9415274,11234,brooklyn
house for sale,799000,3,2.0,2050.0,brooklyn,40.6090065,-73.9307581,11234,brooklyn
multi-family home for sale,799000,5,2.0,2184.207862,brooklyn,40.6437284,-73.9543625,11226,brooklyn
multi-family home for sale,799000,4,2.0,1716.0,brooklyn,40.5778456,-73.9670934,11235,brooklyn
house for sale,799000,3,2.0,1000.0,brooklyn,40.5907198,-73.956552,11235,brooklyn
pending,799000,2,2.0,850.0,brooklyn,40.6864817,-73.9334333,11221,brooklyn
house for sale,799000,3,2.0,2184.207862,brooklyn,40.6284586,-73.9450168,11210,brooklyn
